icao,regid,mdl,type,operator
00b014,zs-set,b190,Beech 1900,Kumba  Iron Ore
00b021,zs-sfg,a319,Airbus A319-131,South African Airways
00b022,zs-sfh,a319,Airbus A319-131,South African Airways
00b023,zs-sfi,a319,Airbus A319-131,South African Airways
00b024,zs-sfj,a319,Airbus A319-131,South African Airways
00b025,zs-sfk,a319,Airbus A319-131,South African Airways
00b026,zs-sfl,a319,Airbus A319-131,South African Airways
00b027,zs-sfm,a319,Airbus A319-131,South African Airways
00b028,zs-sfn,a319,Airbus A319-131,South African Airways
00b03e,zs-sgj,pc12,Pilatus PC12/47E,Private owner
00b06c,zs-sid,b732,Boeing 737-244,Africa Charter Airline
00b06e,zs-sif,b732,Boeing 737-244,Safair
00b083,zs-sja,b738,Boeing 737-8S3,Mango
00b084,zs-sjb,b738,Boeing 737-8S3,South African Airways
00b085,zs-sjc,b738,Boeing 737-85F,South African Airways
00b086,zs-sjd,b738,Boeing 737-85F,South African Airways
00b087,zs-sje,b738,Boeing 737-85F,South African Airways
00b088,zs-sjf,b738,Boeing 737-85F,South African Airways
00b089,zs-sjg,b738,Boeing 737-8BG,Mango
00b08a,zs-sjh,b738,Boeing 737-8BG,Mango
00b08d,zs-sjk,b738,Boeing 737-8BG,Mango
00b08e,zs-sjl,b738,Boeing 737-8BG,Mango
00b08f,zs-sjm,b738,Boeing 737-85F,South African Airways
00b090,zs-sjn,b738,Boeing 737-85F,South African Airways
00b091,zs-sjo,b738,Boeing 737-8BG,Mango
00b092,zs-sjp,b738,Boeing 737-8BG,Mango
00b094,zs-sjr,b738,Boeing 737-844,Mango
00b095,zs-sjs,b738,Boeing 737-844,South African Airways
00b096,zs-sjt,b738,Boeing 737-844,Mango
00b097,zs-sju,b738,Boeing 737-844,South African Airways
00b098,zs-sjv,b738,Boeing 737-844,South African Airways
00b09a,zs-sjx,e135,Embraer ERJ-135LR,Airlink
00b09d,zs-ska,f70,Fokker 70,AirQuarius
00b0da,zs-smj,b733,Boeing 737-3Y0,Agroar - Trabalhos Aereos
00b0dc,zs-sml,pc12,Pilatus PC12/47E,Private owner
00b0eb,zs-sna,a346,Airbus A340-642,South African Airways
00b0ec,zs-snb,a346,Airbus A340-642,South African Airways
00b0ed,zs-snc,a346,Airbus A340-642,South African Airways
00b0ee,zs-snd,a346,Airbus A340-642,South African Airways
00b0ef,zs-sne,a346,Airbus A340-642,South African Airways
00b0f0,zs-snf,a346,Airbus A340-642,South African Airways
00b0f1,zs-sng,a346,Airbus A340-642,South African Airways
00b0f2,zs-snh,a346,Airbus A340-642,South African Airways
00b0f3,zs-sni,a346,Airbus A340-642,South African Airways
00b0f5,zs-snk,b190,Beech 1900D,National Airways
00b100,zs-snv,e135,Embraer ERJ-135LR,Airlink
00b101,zs-snw,e135,Embraer EMB135LR,Airlink
00b102,zs-snx,e135,Embraer ERJ-135LR,Airlink
00b104,zs-snz,e135,Embraer ERJ-135LR,Airlink
00b106,zs-sob,e120,Embraer EMB-120RT Brasilia,Sahara
00b116,zs-sor,b463,BAe 146-300,African Airline Investments
00b133,zs-spu,b733,Boeing 737-3S3,Skywise Airlines
00b164,zs-srr,pc12,Pilatus PC12/45,Private owner
00b174,zs-ssh,rj85,Avro RJ85,Airlink
00b175,zs-ssi,rj85,Avro RJ85,Airlink
00b176,zs-ssj,rj85,Avro RJ85,Airlink
00b177,zs-ssk,rj85,Avro RJ85,Airlink
00b18b,zs-ste,b190,Beech 1900D,Private owner
00b1b2,zs-sur,pc12,Pilatus PC12/47E,Private owner
00b1b6,zs-suv,e135,Embraer ERJ-135LR,Airlink
00b1c3,zs-svi,b190,Beech 1900D,Private owner
00b1e2,zs-swn,e135,Embraer ERJ-135LR,Airlink
00b1ea,zs-swv,e135,Embraer ERJ-135LR,Airlink
00b1ef,zs-sxa,a343,Airbus A340-313,South African Airways
00b1f0,zs-sxb,a343,Airbus A340-313,South African Airways
00b1f1,zs-sxc,a343,Airbus A340-313,South African Airways
00b1f2,zs-sxd,a343,Airbus A340-313,South African Airways
00b1f3,zs-sxe,a343,Airbus A340-313,South African Airways
00b1f4,zs-sxf,a343,Airbus A340-313,South African Airways
00b1f5,zs-sxg,a343,Airbus A340-313,South African Airways
00b1f6,zs-sxh,a343,Airbus A340-313,South African Airways
00b203,zs-sxu,a332,Airbus A330-243,South African Airways
00b204,zs-sxv,a332,Airbus A330-243,South African Airways
00b205,zs-sxw,a332,Airbus A330-243,South African Airways
00b206,zs-sxx,a332,Airbus A330-243,South African Airways
00b207,zs-sxy,a332,Airbus A330-243,South African Airways
00b208,zs-sxz,a332,Airbus A330-243,South African Airways
00b20a,zs-syb,e145,Embraer ERJ-145MP,Airlink
00b217,zs-syo,rj85,Avro RJ85,Airlink
00b218,zs-syp,rj85,Avro RJ85,Airlink
00b21c,zs-syt,e135,Embraer ERJ-135LR,Airlink
00b223,zs-sza,a320,Airbus A320-232,South African Airways
00b224,zs-szb,a320,Airbus A320-232,South African Airways
00b225,zs-szc,a320,Airbus A320-232,South African Airways
00b226,zs-szd,a320,Airbus A320-232,South African Airways
00b227,zs-sze,a320,Airbus A320-232,South African Airways
00b228,zs-szf,a320,Airbus A320-232,South African Airways
00b229,zs-szg,a320,Airbus A320-232,South African Airways
00b22a,zs-szh,a320,Airbus A320-232,South African Airways
00b22b,zs-szi,a320,Airbus A320-232,South African Airways
00b22c,zs-szj,a320,Airbus A320-232,South African Airways
00b23b,zs-szy,a320,Airbus A320-232,South African Airways
00b23c,zs-szz,a320,Airbus A320-232,South African Airways
00b23d,zs-taa,e120,Embraer EMB-120ER Brasilia,Private owner
00b23e,zs-tab,b190,Beech 1900C,TAB Air
00b255,zs-tay,p46t,Piper PA-46-500TP Malibu,Private owner
00b25b,zs-tbe,crj7,Canadair CRJ-700,South African Express
00b25e,zs-tbh,crj2,Canadair CRJ-200,South African Express
00b272,zs-tcb,e135,Embraer ERJ-135ER,Airlink
00b275,zs-tce,e135,Embraer ERJ-135LR,Airlink
00b27f,zs-tco,rj85,Avro RJ85,Airlink
00b280,zs-tcp,rj85,Avro RJ85,Airlink
00b292,zs-tdh,pa44,Piper PA-44-180 Seminole,Private owner
00b2ab,zs-teg,be20,Beech B200GT Super King Air,Private owner
00b2c9,zs-tfk,e135,Embraer ERJ-135LR,Airlink
00b2ca,zs-tfl,e135,Embraer ERJ-135LR,Airlink
00b2da,zs-tgb,b733,Boeing 737-36Q,Star Air Cargo
00b342,zs-tkb,be9l,Beech C90B King Air,Private owner
00b34a,zs-tkj,pc12,Pilatus PC12/45,Private owner
00b386,zs-tmr,b350,Beech 300 Super King Air 350,Private owner
00b3ff,zs-tri,md83,McDonnell Douglas MD-83,Africa Charter Airline
00b400,zs-trj,md87,McDonnell Douglas MD-87,1Time
00b47e,zs-twf,pc12,Pilatus PC12/47E,Private owner
00b7d4,zs-vdb,b733,Boeing 737-300,Mango
00b7e2,zs-vdp,b733,Boeing 737-31L,Star Air Cargo
00bd01,zs-xca,at72,ATR 72-212,Solenta Aviation
00bd03,c9-sam,at45,ATR 42-500,Solenta Aviation
00bd05,zs-xce,at72,ATR 72-202,Solenta Aviation
00bd06,zs-xcf,at72,ATR 72-201F,Solenta Aviation
00bd07,zs-xcg,at45,ATR 42-500,Solenta Aviation
00bd9a,zs-ybp,dh8d,Bombardier Dash 8 Q400,South African Express
00bf9a,zs-ybp,dh8d,Bombardier Dash 8 Q400,South African Express
00bf9c,zs-ybr,dh8d,Bombardier Dash 8 Q400,South African Express
00bf9e,zs-ybt,dh8d,Bombardier Dash 8 Q400,South African Express
00bf9f,zs-ybu,dh8d,Bombardier Dash 8 Q400,South African Express
00bfa1,zs-ybw,dh8d,Bombardier Dash 8 Q400,South African Express
00bfa2,zs-ybx,dh8d,Bombardier Dash 8 Q400,South African Express
00bfa3,zs-yby,dh8d,Bombardier Dash 8 Q400,South African Express
00bfa4,zs-ybz,dh8d,Bombardier Dash 8 Q400,South African Express
00c218,zs-zad,l410,Let L410UVP-E20Turbolet,Solenta Aviation
00c22e,zs-zaz,b350,Beech 300 Super King Air 350,Private owner
00c280,zs-zed,b190,Beech 1900D,Solenta Aviation
00c402,zs-zsz,be36,Beech G36 Bonanza,Private owner
00c451,zs-zwa,b738,Boeing 737-8LD,Kulula.com
00c452,zs-zwb,b738,Boeing 737-8LD,Kulula.com
00c453,zs-zwc,b738,Boeing 737-8LD,Kulula.com
00c454,zs-zwd,b738,Boeing 737-8LD,Kulula.com
00c455,zs-zwe,b738,Boeing 737-8LD,Kulula.com
00c456,zs-zwf,b738,Boeing 737-8LD,Kulula.com
00c459,zs-zwi,b738,Boeing 737-85R,Comair
00c45f,zs-zwo,b738,Boeing 737-8K2,Kulula.com
00c460,zs-zwp,b738,Boeing 737-86N,Kulula.com
00c461,zs-zwq,b738,Boeing 737-8K2,Kulula.com
00c462,zs-zwr,b738,Boeing 737-85P,Kulula.com
00c463,zs-zws,b738,Boeing 737-86N,Kulula.com
00c464,zs-zwt,b738,Boeing 737-8K5,Kulula.com
00c66f,zu-sax,rv10,Amateur Vans RV-10,Private owner
00c762,zu-flu,rv9,Amateur Vans RV-9A,Private owner
00cb2b,zu-wrv,rv10,Amateur Vans RV-10,Private owner
00cdc5,zu-lrv,rv10,Van's Aircraft RV-10,Private owner
00d2ab,zu-vra,rv9,Amateur Vans RV-9A,Private owner
00d3c8,zu-fsh,rv12,Vans RV-12,Private owner
