KLM876,,485788,,,RPLL,EHAM,2020-05-31 11:53:13+00:00,2020-06-01 03:42:54+00:00,2020-06-01 00:00:00+00:00,14.51518249511719,121.0310732085129,304.8,52.30604553222656,4.7754859924316415,
QQE202,,06a1c7,A7-CGB,G650,OTBD,KTEB,2020-05-31 12:06:36+00:00,2020-06-01 01:15:51+00:00,2020-06-01 00:00:00+00:00,25.273209911281782,51.55997798127948,0.0,40.8372802734375,-74.084228515625,30.48
UAL2864,UA2864,a2b501,N2737U,B77W,VHHH,KORD,2020-05-31 12:13:05+00:00,2020-06-01 02:22:46+00:00,2020-06-01 00:00:00+00:00,22.30480646682998,113.92466227213541,0.0,41.965678586798205,-87.96101414880087,243.84
VDA3240,,152ad7,RA-76503,IL76,,PANC,2020-05-31 12:14:05+00:00,2020-06-01 03:45:28+00:00,2020-06-01 00:00:00+00:00,17.04384496656515,106.0313579014369,9448.8,61.167778403072035,-150.0414021809896,144.78
EVA056,,899040,B-16736,B77W,RCTP,KORD,2020-05-31 12:15:33+00:00,2020-06-01 01:17:52+00:00,2020-06-01 00:00:00+00:00,25.07783016916049,121.2451171875,0.0,41.965725139036024,-87.93597554051597,137.16
MPH8562,,4841c5,PH-CKC,B744,FAOR,EHAM,2020-05-31 12:24:24+00:00,2020-06-01 03:31:51+00:00,2020-06-01 00:00:00+00:00,-26.032151044425348,28.269776564378013,2743.2,52.29566671080508,4.762887137276786,
QTR7UP,,06a129,,,YSSY,OTHH,2020-05-31 12:31:47+00:00,2020-06-01 03:24:55+00:00,2020-06-01 00:00:00+00:00,-33.958926443326284,151.17919921875,0.0,25.27547836303711,51.61562601725261,76.2
TAM9521,,e48df6,PT-MUI,B77W,EHAM,EHAM,2020-05-31 12:36:23+00:00,2020-06-01 18:08:59+00:00,2020-06-01 00:00:00+00:00,52.30747934115135,4.7421896798270105,-304.8,52.29515075683594,4.752960205078125,-68.58
EVA036,,899032,B-16729,B77W,RCTP,CYYZ,2020-05-31 12:38:38+00:00,2020-06-01 02:24:47+00:00,2020-06-01 00:00:00+00:00,25.07688903808594,121.243896484375,0.0,43.67463451320842,-79.62267739432201,
ACA7155,,c0103a,C-FGDT,B789,CYYZ,,2020-05-31 12:43:19+00:00,2020-06-01 04:14:47+00:00,2020-06-01 00:00:00+00:00,43.678195759401476,-79.5983668736049,0.0,32.83602905273438,129.06095581054691,12192.0
BAW27,BA27,40621d,G-STBC,B77W,EGLL,VHHH,2020-05-31 12:45:05+00:00,2020-06-01 00:04:59+00:00,2020-06-01 00:00:00+00:00,51.46490478515625,-0.4482124947213038,-304.8,22.302711616128178,113.91815185546879,15.24
TAM9522,,e4818b,PT-MUC,B77W,SBGR,EHAM,2020-05-31 13:07:11+00:00,2020-06-01 02:35:05+00:00,2020-06-01 00:00:00+00:00,-23.419080831236784,-46.42705281575519,914.4,52.29217529296875,4.745230538504464,-99.06
CKS402,,a4b8bf,N403KZ,B744,KSUU,RJTJ,2020-05-31 13:09:52+00:00,2020-06-01 21:19:38+00:00,2020-06-01 00:00:00+00:00,38.25616351628707,-121.93910681683079,0.0,35.83889201536017,139.32954828789892,640.08
GEC8400,LH8400,3c70c2,D-ALFB,B77L,EDDF,RKSI,2020-05-31 13:13:22+00:00,2020-06-01 04:56:29+00:00,2020-06-01 00:00:00+00:00,50.03968048095703,8.544002332185443,0.0,37.3128662109375,126.5920695852726,1043.94
QTR3GG,,06a11e,A7-ANB,A35K,YMML,OTHH,2020-05-31 13:18:19+00:00,2020-06-01 03:27:59+00:00,2020-06-01 00:00:00+00:00,-37.6468505859375,144.8338739922706,304.8,25.293692895921605,51.60993468086674,76.2
UAL2832,UA2832,a2cb12,N27957,B789,KSFO,RKSI,2020-05-31 13:18:58+00:00,2020-06-01 01:05:09+00:00,2020-06-01 00:00:00+00:00,37.6297566042108,-122.400890847911,0.0,37.30796813964844,126.5964524289395,1082.04
AAL9721,AA9721,ab7fe6,N840AN,,KLAX,RKSI,2020-05-31 13:20:51+00:00,2020-06-01 01:40:52+00:00,2020-06-01 00:00:00+00:00,33.936022742319906,-118.41705322265621,0.0,37.31413243180614,126.5908614448879,1043.94
UAL2773,,a28dc8,N2639U,B77W,VHHH,KLAX,2020-05-31 13:22:45+00:00,2020-06-01 01:26:44+00:00,2020-06-01 00:00:00+00:00,22.304573705640895,113.9239501953125,0.0,33.938369750976555,-118.37230448820151,106.68
CPA081,,780a6f,B-LJL,B748,PANC,VHHH,2020-05-31 13:23:18+00:00,2020-06-01 00:14:39+00:00,2020-06-01 00:00:00+00:00,61.1678466796875,-150.0411660330636,0.0,22.30424783997616,113.9229329427083,15.24
THY6490,,4bb152,TC-LJR,B77L,LTBA,VHHH,2020-05-31 13:23:20+00:00,2020-06-01 00:40:38+00:00,2020-06-01 00:00:00+00:00,40.96950724973517,28.81826227361505,0.0,22.30233764648438,113.91698663884941,15.24
TVS4169,,49d1c6,OK-TVT,B738,,LKPR,2020-05-31 13:23:25+00:00,2020-06-01 04:52:20+00:00,2020-06-01 00:00:00+00:00,-31.175056069584215,-52.1865966796875,11887.2,50.09902954101562,14.216886821546051,350.52
CPA085,CX85,780aa8,B-LJN,B748,PANC,VHHH,2020-05-31 13:27:03+00:00,2020-06-01 00:22:09+00:00,2020-06-01 00:00:00+00:00,61.168011164261124,-150.0440470377604,0.0,22.30329895019531,113.91988303444599,15.24
BAW287,BA287,406f75,G-ZBKI,B789,EGLL,KSFO,2020-05-31 13:27:42+00:00,2020-06-01 00:02:55+00:00,2020-06-01 00:00:00+00:00,51.46490478515625,-0.4480640308277088,-304.8,37.613696082163656,-122.35748291015621,0.0
CSN455,CZ455,781940,,,EDDF,EHAM,2020-05-31 13:29:53+00:00,2020-06-01 13:58:28+00:00,2020-06-01 00:00:00+00:00,50.031342587228536,8.562061206714526,0.0,52.29642105102539,4.756278991699219,-76.2
HBAL2,,a2609d,,,,,2020-05-31 13:38:43+00:00,2020-06-01 17:52:58+00:00,2020-06-01 00:00:00+00:00,38.24661254882812,-99.28572634433176,18897.6,34.832748413085945,-100.0862339564732,19507.2
UAE9404,,89610c,A6-ECE,B77W,RJBB,OMDB,2020-05-31 13:42:16+00:00,2020-06-01 00:17:46+00:00,2020-06-01 00:00:00+00:00,34.440509343551376,135.2633857727051,0.0,25.28466176178496,55.30698956183668,403.86
KLM601,KL601,484cbb,PH-BVG,B77W,EHAM,KLAX,2020-05-31 13:45:17+00:00,2020-06-01 00:32:36+00:00,2020-06-01 00:00:00+00:00,52.314308166503906,4.754905700683594,-304.8,33.9375589661679,-118.3810043334961,68.58
THY6079,,4bb1e5,TC-LOE,A333,,KJFK,2020-05-31 13:45:21+00:00,2020-06-01 00:03:43+00:00,2020-06-01 00:00:00+00:00,41.24569702148438,28.73419189453125,304.8,40.62455749511719,-73.71710205078125,198.12
ELY076,,7380c4,,,VHHH,LLSD,2020-05-31 13:46:35+00:00,2020-06-01 00:57:40+00:00,2020-06-01 00:00:00+00:00,22.302978515625,113.91898415305401,0.0,32.045769125728285,34.806144870057395,381.0
AAL9731,AA9731,a9b275,N724AN,B77W,KDFW,VHHH,2020-05-31 13:50:37+00:00,2020-06-01 05:52:58+00:00,2020-06-01 00:00:00+00:00,32.86681094412076,-97.05299844547191,304.8,22.31900024414062,113.9230790571733,30.48
CPA841,CX841,780201,B-KPA,B77W,KJFK,VHHH,2020-05-31 13:55:05+00:00,2020-06-01 04:52:07+00:00,2020-06-01 00:00:00+00:00,40.64848301774364,-73.8208840110085,0.0,22.31905145160222,113.9231363932292,30.48
